Accident_ID,Date,Time,City,State,Country,Accident Type,Cause of Accident,Severity,Number of Vehicles Involved,Number of Casualties,Number of Injuries,Weather Condition,Road Condition,Police Report Filed,Emergency Services Response Time (min),Hospital Admitted To
ACC00000,2025-01-12,15:52:12,Delhi,Delhi,India,Vehicle Collision,Poor Lighting,Severe,2,1,2,Clear,Under Construction,Yes,28.6,Apollo Hospitals
ACC00001,2025-02-25,05:42:37,Mumbai,Maharashtra,India,Pedestrian Involved,Drunk Driving,Moderate,5,0,5,Rainy,Under Construction,No,13.8,Max Healthcare
ACC00002,2025-03-17,00:47:59,Ahmedabad,Gujarat,India,Vehicle Collision,Road Conditions,Moderate,4,2,3,Rainy,Wet,No,9.1,Manipal Hospital
ACC00003,2025-02-07,05:35:53,Delhi,Delhi,India,Train,Road Conditions,Severe,5,2,1,Stormy,Under Construction,Yes,43.9,Manipal Hospital
ACC00004,2025-01-25,23:40:34,Delhi,Delhi,India,Bus,Road Conditions,Severe,5,1,6,Clear,Dry,Yes,35.9,Apollo Hospitals
ACC00005,2025-02-21,21:26:16,Hyderabad,Telangana,India,Pedestrian Involved,Brake Failure,Severe,4,2,2,Foggy,Gravel,Yes,31.8,Apollo Hospitals
ACC00006,2025-02-28,14:56:34,Lucknow,Uttar Pradesh,India,Two-Wheeler,Human Error,Moderate,2,3,4,Foggy,Under Construction,Yes,32.4,Apollo Hospitals
ACC00007,2025-03-07,19:41:34,Hyderabad,Telangana,India,Vehicle Collision,Road Conditions,Severe,4,2,1,Rainy,Under Construction,No,13.5,Manipal Hospital
ACC00008,2025-03-22,19:57:59,Kolkata,West Bengal,India,Slip & Fall,Drunk Driving,Severe,2,1,6,Foggy,Under Construction,No,40.9,Manipal Hospital
ACC00009,2025-02-16,18:53:12,Chennai,Tamil Nadu,India,Truck,Drunk Driving,Fatal,1,0,1,Rainy,Wet,No,28.9,Manipal Hospital
ACC00010,2025-02-13,17:15:44,Kolkata,West Bengal,India,Slip & Fall,Human Error,Severe,5,0,6,Clear,Under Construction,No,35.7,AIIMS
ACC00011,2025-01-14,18:27:11,Delhi,Delhi,India,Bus,Brake Failure,Moderate,4,0,6,Foggy,Under Construction,Yes,25.3,Apollo Hospitals
ACC00012,2025-03-29,06:55:22,Ahmedabad,Gujarat,India,Truck,Drunk Driving,Severe,2,0,5,Foggy,Potholes,Yes,9.5,AIIMS
ACC00013,2025-02-12,17:04:36,Ahmedabad,Gujarat,India,Truck,Over Speeding,Moderate,5,0,1,Stormy,Dry,Yes,10.1,Manipal Hospital
ACC00014,2025-03-05,06:41:21,Jaipur,Rajasthan,India,Two-Wheeler,Weather Conditions,Fatal,2,1,6,Foggy,Potholes,No,22.5,Max Healthcare
ACC00015,2025-02-09,05:38:27,Pune,Maharashtra,India,Pedestrian Involved,Drunk Driving,Moderate,1,2,1,Rainy,Under Construction,Yes,5.3,Apollo Hospitals
ACC00015,2024-02-09,05:38:27,Pune,Maharashtra,India,Pedestrian Involved,Drunk Driving,Moderate,1,2,1,Rainy,Under Construction,Yes,5.3,Apollo Hospitals
ACC00016,2025-05-06,23:33:01,Hyderabad,Telangana,India,Pedestrian Involved,Over Speeding,Severe,1,1,3,Stormy,Wet,Yes,33.9,Max Healthcare
ACC00616,2024-05-06,23:33:01,Hyderabad,Telangana,India,Pedestrian Involved,Over Speeding,Severe,1,1,3,Stormy,Wet,Yes,33.9,Max Healthcare
ACC00017,2025-03-15,01:30:36,Lucknow,Uttar Pradesh,India,Slip & Fall,Drunk Driving,Fatal,4,1,1,Clear,Potholes,No,21.9,Manipal Hospital
ACC00018,2025-05-03,10:04:31,Mumbai,Maharashtra,India,Pedestrian Involved,Over Speeding,Fatal,3,0,2,Rainy,Wet,No,10.6,Fortis Healthcare
ACC00019,2025-01-09,19:00:40,Ahmedabad,Gujarat,India,Slip & Fall,Drunk Driving,Minor,4,0,1,Clear,Dry,Yes,11.7,Manipal Hospital
ACC00020,2025-04-29,19:28:52,Pune,Maharashtra,India,Truck,Road Conditions,Fatal,1,1,4,Clear,Potholes,No,42.1,Manipal Hospital
ACC00021,2025-05-08,11:29:14,Ahmedabad,Gujarat,India,Fire Accident,Poor Lighting,Fatal,2,1,3,Rainy,Dry,Yes,34.9,Apollo Hospitals
ACC00022,2025-04-04,02:35:06,Mumbai,Maharashtra,India,Slip & Fall,Human Error,Moderate,1,0,2,Clear,Under Construction,Yes,32.0,Fortis Healthcare
ACC00023,2025-04-08,18:01:54,Kolkata,West Bengal,India,Pedestrian Involved,Human Error,Moderate,5,0,5,Clear,Potholes,No,42.4,Fortis Healthcare
ACC00024,2025-03-04,07:28:20,Chennai,Tamil Nadu,India,Truck,Weather Conditions,Fatal,2,2,4,Foggy,Dry,Yes,23.3,Max Healthcare
ACC00025,2025-03-01,09:03:16,Delhi,Delhi,India,Pedestrian Involved,Human Error,Moderate,5,2,2,Foggy,Dry,Yes,19.8,Fortis Healthcare
ACC00026,2025-04-13,10:32:10,Pune,Maharashtra,India,Bus,Human Error,Minor,5,2,6,Clear,Wet,No,9.6,Apollo Hospitals
ACC00027,2025-04-20,14:39:32,Jaipur,Rajasthan,India,Two-Wheeler,Weather Conditions,Severe,5,1,6,Foggy,Wet,No,25.2,AIIMS
ACC00028,2025-04-05,21:28:44,Mumbai,Maharashtra,India,Pedestrian Involved,Poor Lighting,Fatal,3,0,1,Foggy,Wet,No,11.5,Manipal Hospital
ACC00029,2025-03-11,05:19:01,Jaipur,Rajasthan,India,Fire Accident,Human Error,Minor,1,0,6,Rainy,Under Construction,Yes,38.4,Max Healthcare
ACC00030,2025-01-18,04:28:11,Jaipur,Rajasthan,India,Two-Wheeler,Brake Failure,Moderate,1,2,3,Clear,Gravel,Yes,32.3,Apollo Hospitals
ACC00031,2025-01-25,13:46:57,Chennai,Tamil Nadu,India,Fire Accident,Human Error,Moderate,2,1,2,Stormy,Dry,Yes,34.5,AIIMS
ACC00032,2025-03-19,00:20:50,Kolkata,West Bengal,India,Truck,Weather Conditions,Moderate,1,3,1,Stormy,Wet,Yes,37.7,Manipal Hospital
